Scenario,Approach,parameter,Iteration,Country,Club,tag,EV,EV_previous_round,Max_Iteration,Bool
Scenario_D,Realistic_wi_china,qxw,3,ghana,inside,producer,-135.02507019043,-139.379776000977,5,No
Scenario_D,Diplomatic,qo,31,paraguay,outside,producer,29775.755859375,46991.65625,49,No
Scenario_D,Diplomatic,qo,2,korea,inside,non-producer,-118.109451293945,-253.7529296875,49,No
Scenario_D,Realistic_wo_china,qoes,2,paraguay,outside,producer,-45.0786819458008,-3.80867528915405,4,No
Scenario_D,Diplomatic,qo,33,ivorycoast,outside,producer,-548.431274414062,-568.540100097656,49,No
Scenario_D,Idealist,qo,1,colombia,outside,producer,-1412.94226074219,-58.8197860717773,6,No
Scenario_D,Diplomatic,qoes,2,restofworld,outside,non-producer,-349.803558349609,-255.277359008789,4,No
Scenario_D,Realistic_wi_china,qoes,4,ssa,outside,non-producer,-438.190521240234,-410.286376953125,5,No
Scenario_D,Diplomatic,qo,43,china,outside,non-producer,-1075.71875,306.703857421875,49,No
Scenario_D,Diplomatic,qxw,43,eu27,inside,non-producer,1028.39208984375,1195.11376953125,49,No
Scenario_D,Idealist,qxw,1,mena,inside,non-producer,-238.902038574219,-0.76371955871582,5,No
Scenario_D,Diplomatic,qo,2,newzealand,inside,non-producer,-25.7421188354492,84.6752471923828,49,No
Scenario_D,Diplomatic,qo,47,paraguay,inside,producer,1401.07214355469,-43.7938461303711,49,No
Scenario_D,Diplomatic,qxw,29,seasia,outside,non-producer,-244.220123291016,-263.339660644531,49,No
Scenario_D,Realistic_wo_china,qo,3,uk,inside,non-producer,-249.445709228516,-307.653778076172,5,No
Scenario_D,Diplomatic,qo,42,china,outside,non-producer,306.703857421875,1102.55871582031,49,No
Scenario_D,Realistic_wi_china,qo,2,uruguay,inside,non-producer,-67.6528930664062,28.6857948303223,5,No
Scenario_D,Diplomatic,qxw,36,seasia,outside,non-producer,-253.849792480469,-244.220123291016,49,No
Scenario_D,Diplomatic,qxw,48,china,outside,non-producer,-105.80534362793,-191.69482421875,49,No
Scenario_D,Diplomatic,qo,32,korea,inside,non-producer,-264.904663085938,-186.691040039062,49,No
Scenario_D,Diplomatic,qo,44,indonesia,outside,producer,136.200042724609,39.1286392211914,49,No
Scenario_D,Diplomatic,qxw,3,myanmar,outside,non-producer,-1.69086098670959,-1.94024634361267,49,No
Scenario_D,Realistic_wo_china,qoes,1,angdrc,outside,producer,-12.1058731079102,-1.09477496147156,4,No
Scenario_D,Diplomatic,qo,0,venezuela,outside,non-producer,3.79654216766357,0,49,No
Scenario_D,Diplomatic,qxw,18,mozambique,outside,non-producer,-5.24545860290527,-6.77684688568115,49,No
Scenario_D,Diplomatic,qo,14,southasia,outside,non-producer,-53.9770431518555,-12.5715084075928,49,No
Scenario_D,Diplomatic,qo,28,brasil,inside,producer,784.2509765625,1354.71752929688,49,No
Scenario_D,Diplomatic,qxw,28,uk,inside,non-producer,-238.166610717773,-238.747100830078,49,No
Scenario_D,Diplomatic,qo,40,indonesia,outside,producer,36.963436126709,126.53702545166,49,No
Scenario_D,Diplomatic,qo,15,malasya,outside,producer,37.6504974365234,60.0589599609375,49,No
Scenario_D,Realistic_wi_china,qxw,4,southasia,outside,non-producer,-10.8823728561401,-14.20836353302,5,No
Scenario_D,Diplomatic,qo,26,eastasia,outside,non-producer,-71.5057754516602,0.207656860351562,49,No
Scenario_D,Diplomatic,qxw,39,southasia,outside,non-producer,-14.2370452880859,-17.8229179382324,49,No
Scenario_D,Diplomatic,qxw,40,uk,inside,non-producer,-238.166610717773,-238.747100830078,49,No
Scenario_D,Diplomatic,qxw,9,uk,inside,non-producer,-238.747100830078,-232.514175415039,49,No
Scenario_D,Diplomatic,qxw,36,mena,outside,non-producer,-222.316909790039,-274.225860595703,49,No
Scenario_D,Diplomatic,qo,42,bolivia,inside,producer,31.0788249969482,69.0014343261719,49,No
Scenario_D,Diplomatic,qxw,37,peru,inside,producer,-217.356292724609,-217.707916259766,49,No
Scenario_D,Realistic_wi_china,qo,0,uruguay,outside,non-producer,0.415789306163788,0,5,No
Scenario_D,Diplomatic,qxw,36,venezuela,outside,non-producer,7.34677648544312,-2.92630195617676,49,No
Scenario_D,Diplomatic,qo,1,ivorycoast,outside,producer,-2366.18798828125,-244.334335327148,49,No
Scenario_D,Diplomatic,qxw,17,canada,inside,non-producer,182.828521728516,159.126739501953,49,No
Scenario_D,Realistic_wi_china,qo,3,korea,inside,non-producer,-280.480041503906,-172.084075927734,5,No
Scenario_D,Diplomatic,qxw,18,peru,inside,producer,-217.707916259766,-218.845962524414,49,No
Scenario_D,Diplomatic,qxw,11,eu27,inside,non-producer,1181.45935058594,1028.39208984375,49,No
Scenario_D,Diplomatic,qxw,40,ivorycoast,inside,producer,-568.1044921875,-562.782592773438,49,No
Scenario_D,Diplomatic,qo,44,mozambique,outside,non-producer,-16.7982540130615,-4.88440036773682,49,No
Scenario_D,Realistic_wo_china,qo,3,russia,outside,non-producer,-1.87202513217926,-23.689582824707,5,No
Scenario_D,Diplomatic,qo,29,southasia,outside,non-producer,-42.7944412231445,-53.9770431518555,49,No
Scenario_D,Diplomatic,qxw,14,southasia,outside,non-producer,-17.8229179382324,-19.9373817443848,49,No
Scenario_D,Realistic_wi_china,qo,2,restofworld,outside,non-producer,-218.45719909668,-41.2790679931641,5,No
Scenario_D,Idealist,qxw,2,brasil,outside,producer,151.544799804688,-603.858276367188,5,No
Scenario_D,Diplomatic,qo,42,efta,inside,non-producer,-32.6972999572754,10.2922325134277,49,No
Scenario_D,Diplomatic,qxw,35,uruguay,inside,non-producer,17.0362854003906,22.4721717834473,49,No
Scenario_D,Diplomatic,qo,22,indonesia,outside,producer,50.7726745605469,-71.2474517822266,49,No
Scenario_D,Diplomatic,qoes,0,korea,outside,non-producer,8.35494041442871,0,4,No
Scenario_D,Realistic_wi_china,qxw,4,canada,inside,non-producer,253.295379638672,222.899032592773,5,No
Scenario_D,Realistic_wi_china,qo,1,japan,inside,non-producer,-186.257339477539,21.5041255950928,5,No
Scenario_D,Diplomatic,qo,13,mena,outside,non-producer,572.421020507812,-699.684692382812,49,No
Scenario_D,Diplomatic,qxw,17,oceania,inside,non-producer,135.545135498047,124.287155151367,49,No
